"","Cruise","Station","Type","mon.day.yr","hh.mm","Longitude","Latitude","WCDepth","SampleDepth","QF.0","TEMP","QF.1","PSAL","QF.2","DOXY.umol.l.","QF.3","DateTime"
"732002","ICES/35GDENQ630d0","0230","B","9/10/1999","11:20",-2.6832,43.8663,1430,33,0,16.09,0,35.63,0,NA,NA,1999-09-10 11:20:00
"184450","ICES/26MHENQ1047 ","0085","B","2/16/1997","14:46",-6.08330000000001,63,1700,250,0,2.9717,0,34.8763,0,NA,NA,1997-02-16 14:46:00
"1477185","ICES/45CEENQ762e ","3875","B","1/25/2007","17:33",-11.0055,53.0025,125,35,0,10.2333,0,35.4169,0,NA,NA,2007-01-25 17:33:00
"2687031","ICES/68CAENQ461SE","0039","B","10/14/1995","22:40",-11.5,39.2483,0,1500.3,0,7.7831,0,35.6769,0,NA,NA,1995-10-14 22:40:00
"562160","ICES/35LUENQ630b+","0229","B","5/24/1995","02:50",7.9725,43.4297,2395,98.4,0,13.272,0,38.503,0,NA,NA,1995-05-24 02:50:00
"3206592","ICES/74CHSES620a ","1198","B","5/11/1996","12:13",-8.00049999999999,55.9378,173,32.9,0,9.794,0,35.3615,0,301.01,0,1996-05-11 12:13:00
"2417369","ICES/58JHENQ679p ","0004","B","1/11/2007","19:11",4.4407,62.7205,186,60,0,9.279,0,34.5243,0,NA,NA,2007-01-11 19:11:00
"2951802","ICES/77ARENQ719f ","0435","B","8/29/2000","15:20",12.8583,55.5983,8,5,0,14.15,0,8.15,0,NA,NA,2000-08-29 15:20:00
"357463","ICES/26MHENQ1047 ","0037","B","2/19/2006","05:26",-5.48500000000001,60.851,590,425,0,3.8171,0,34.9663,0,NA,NA,2006-02-19 05:26:00
"1343564","ICES/06GAENQ710ai","0040","B","1/29/2006","19:03",15.9822,55.248,91,26,0,2.49,0,7.623,0,391.23,0,2006-01-29 19:03:00
"1776585","ICES/58EJENQ570b ","0588","B","5/2/1990","08:30",0,62.25,1200,76,0,7.455,0,35.189,0,NA,NA,1990-05-02 08:30:00
"1146121","ICES/06AKENQ594a ","1141","B","9/10/1995","01:46",15.45,55.65,67,43,0,12.38,0,7.22,0,NA,NA,1995-09-10 01:46:00
"514454","ICES/35GDENQ54700","0020","B","4/14/1993","09:00",-1.62549999999999,45.863,40,20.2,0,11.082,0,35.211,0,NA,NA,1993-04-14 09:00:00
"774990","ICES/35HTENQ630d0","0813","B","12/4/1999","16:37",-6.21350000000001,47.8542,143,15,0,13.01,0,35.51,0,NA,NA,1999-12-04 16:37:00
"2038981","ICES/58GDENQ611  ","0210","B","5/20/1997","00:00",9.1833,58.1333,647,125,0,6.445,0,35.012,0,NA,NA,1997-05-20 00:00:00
"264338","ICES/26MHENQ1047 ","0027","B","3/5/2001","21:58",-5.35000000000002,61.8167,175,25,0,6.5653,0,35.1818,0,NA,NA,2001-03-05 21:58:00
"2646306","ICES/67BC00000000","0121","B","7/29/1993","22:17",15.6708,54.5013,54,10,0,15.18,0,7.716,0,304.14,0,1993-07-29 22:17:00
"2724714","ICES/RUP2        ","0003","B","3/19/1992","03:34",-2.16669999999999,61,338,50,0,8.81,0,35.339,0,283.6,0,1992-03-19 03:34:00
"988429","ICES/062ZENQ82491","0024","B","8/8/1991","08:50",12.1927,41.5953,129,117.8,0,14.037,0,38.344,0,200.97,0,1991-08-08 08:50:00
"2708373","ICES/6899ENQ839a ","0023","B","1/22/2000","04:13",-7.59829999999999,36.895,568,225.8,0,13.697,0,35.908,0,NA,NA,2000-01-22 04:13:00
"459169","ICES/35JCENQ630a/","0076","B","6/17/1990","17:30",3.15,37.75,0,75,0,14.688,0,37.788,0,245.19,0,1990-06-17 17:30:00
"1670731","ICES/48URENQ82495","0Y06","B","10/24/1995","20:55",13.1283,44.3167,51,26,0,19.61,0,38.029,0,NA,NA,1995-10-24 20:55:00
"485847","ICES/35A3ENQ54700","0374","B","5/16/1991","02:40",-1.78649999999999,35.7632,845,35.2,0,16.327,0,36.552,0,NA,NA,1991-05-16 02:40:00
